,Unnamed: 0,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Power,Torque,Odometer,Speedometer,Tripmeter,Seating_Capacity,Type,Wheelbase,Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Other_Specs,Other_specs,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Unnamed: 112,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System
109,740,Honda,Civic,1.8 V Cvt,1793900,1799 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,47 litres,Petrol,1433 mm,4656 mm,1799 mm,Sedan,4.0,,,16.5 km/litre,,1268 kg,7,,Ventilated Disc,Solid Disc,"MacPherson Strut, Coil Spring","Multilink, Coil Spring",Yes,All Windows,Yes,Smart Key,141PS@6500rpm,174Nm@4300rpm,Digital,Yes,Yes,5.0,Automatic,2700 mm,215/55 R16,Yes,Yes,CD Player with USB & Aux-in,,Yes,,Yes,Manual,430 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Manual,Yes,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",Yes,Yes,Yes,,4.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,,Yes,With gear shift paddles,,Yes,Manual Adjustment,Yes
110,745,Mg,Zs Ev,Excite,2088000,,,,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,,Electric,1644 mm,4314 mm,1809 mm,SUV,5.0,,,,,,,,Ventilated Disc,Ventilated Disc,MacPherson Strut,Torsion Beam,Electric Power,All Windows,,Smart Key,142.76PS@3500rpm,353Nm@5000rpm,Analog,Digital,Yes,5.0,Automatic,2585 mm,215/50 R17,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,,Yes,"With Remote, Manual",448 litres,Yes,Yes,Yes,Digital,Yes,Yes,Front & Rear,Yes,,Yes,Internal,Digital,Automatic,Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,Yes,Yes,Yes,Yes,,Yes,"Eco, Sport, Normal",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",Yes,Yes,Yes,Yes,6.0,,Rake,,,Rear sensors with camera,Yes,Yes,Yes,Yes,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,,Yes
111,747,Kia,Carnival,Premium 7 Str,2495000,2199 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,,Diesel,1755 mm,5115 mm,1985 mm,MUV,5.0,,,,,,8,,Ventilated Disc,Ventilated Disc,Macpherson strut with Coil Spring,Multi link,Electric Power,All Windows,,Smart Key,200PS@3800rpm,440Nm@1750-2750rpm,Digital,Analog,Yes,7.0,Automatic,3060 mm,235/60 R18,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 Years Warranty,Yes,"Manual, With Remote",540 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Digital,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Yes,3 Zone climate control,Yes,,Yes,Yes,,Yes,"Normal, Eco",Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,Yes,Yes,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes
112,752,Skoda,Superb,Style 1.8 Tsi Mt,2599599,1798 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,66 litres,Petrol,1483 mm,4861 mm,1864 mm,Sedan,4.0,10.6 km/litre,14.12 km/litre,14.12 km/litre,,1449 kg,6,164 mm,Ventilated Disc,Ventilated Disc,McPherson suspension with lower triangular links and torsion stabilizer,"Multi-element axle, with one longitudinal and three transverse links, with torsion stabiliser",Electro-Hydraulic,All Windows,Yes,Smart Key,180PS@6200RPM,320Nm@1450-3900rpm,Analog,Analog,Yes,5.0,Manual,2841 mm,205/55R16,Yes,2,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,"With Remote, Internal",625 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,11.1 meter,Yes,Driver & Front Passenger,Not Applicable,2 Zone Climate Control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2010 kg,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Yes,Yes,Yes,8.0,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes
113,759,Volvo,V40,Kinetic,2769000,1984 cc,5.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,60 litres,Diesel,1420 mm,4369 mm,2041 mm,Hatchback,5.0,"16,8 km/litre",,16.81 km/litre,,1500 kg,6,133 mm,Ventilated Disc,Ventilated Disc,"MacPherson Strut, Coil Spring",Independent suspension with McPherson Struts,Electric Power,All Windows,Yes,Remote,150PS@150rpm,350Nm@1500-2750rpm,Digital,Digital,Yes,5.0,Automatic,2647 mm,115/90R17,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,"Manual, With Remote",324 litres,Yes,Yes,Yes,Digital,Yes,Yes,Yes,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,10.8 meter,Yes,Driver & Front Passenger,,2 Zone Climate Control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2020 kg,"Driver frontal airbag, Drive side airbag, Front passenger frontal airbag, Front passenger curtain airbag, Front passenger side airbag, Driver curtain airbag, Rear passenger curtain airbags",Yes,Yes,,,7.0,,"Rake, Reach",,,Rear sensors,,,,,,,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes
114,761,Toyota,Fortuner,2.8 4X2 At,3205000,2755 cc,4.0,4.0,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,80 litres,Diesel,1835 mm,4795 mm,1855 mm,SUV,5.0,12.55 km/litre,12.9 km/litre,12.9 km/litre,,1970 kg,5,220 mm,Ventilated Disc,Ventilated Disc,Double wishbone,4-Link with Coil Spring,Electric Power,All Windows,,Smart Key,177PS@3400rpm,450Nm@1600-2400rpm,Digital,Analog,Yes,7.0,Automatic,2745 mm,265/65R17,Yes,Yes,CD Player with USB & Aux-in,Yes,,3 years /100000 Kms (years/distance whichever comes first),Yes,Internal,296 litres,Yes,Yes,Yes,Digital,Front & Rear,,Front & Rear,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,5.8 meter,Yes,Driver & Front Passenger,Yes,Fully automatic climate control,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2610 kg,"Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Drive side airbag, Curtain airbags, Driver frontal airbag",Yes,Yes,Yes,,7.0,15.6:1,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,,Yes,Electric Adjustment with Memory,Yes
115,768,Ford,Endeavour,3.2L 4X4 At Titanium Plus,3470000,3198 cc,5.0,4.0,AWD (All Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,80 litres,Diesel,1837 mm,4903 mm,1869 mm,SUV,5.0,7.7 km/litre,10.91 km/litre,10.91 km/litre,,2394 kg,6,225 mm,Ventilated Disc,Ventilated Disc,Independent coil spring with anti-roll bar,"Coil Spring, Watt Linkage Type with Anti-roll Bar",Hydraulic Power,All Windows,Yes,Smart Key,200PS@3000rpm,470Nm@1750-2500rpm,Digital,Analog,2,7.0,Automatic,2850 mm,265 / 60 R18,Yes,3,CD Player with USB & Aux-in,Yes,Yes,,Yes,Internal,430 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,6.2 meter,Yes,Driver & Front Passenger,Yes,"Fully automatic climate control, 2 Zone Climate Control",,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,,"Drive side airbag, Driver frontal airbag, Curtain airbags, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag",Yes,Yes,Yes,Yes,7.0,,Rake,,,Front and rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes
116,771,Mini,Cooper 3 Door,Cooper D,2990000,1496 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,44 litres,Diesel,1414 mm,3821 mm,1727 mm,Hatchback,3.0,,,21.15 km/litre,,1245 kg,6,,Ventilated Disc,Ventilated Disc,single joint spring-strut front axle,multiple control-arm rear axle,,Only Front Windows,Power seats,,116PS@4000rpm,270Nm@1750-2250rpm,,,,4.0,Automatic,,175/65 R15,,,CD Player with USB & Aux-in,,,2 years / Unlimited Kms,Yes,Internal,211 litres,,Yes,Yes,,,,,,,,Internal,,Automatic,Digital,Yes,,,Driver & Front Passenger,,Fully automatic climate control,,,,,,,,Yes,,,,,,,Yes,Yes,,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,16.5:1,"Rake, Reach",,,Rear sensors with camera,Yes,,,,,,Multifunction Steering Wheel,,,Electric Adjustment,
117,773,Skoda,Kodiaq Scout,2.0 Tdi At,3399000,1968 cc,4.0,4.0,4WD,In-line,BS 6,"Front, Longitudinal",Injection,63 litres,Diesel,1665 mm,4697 mm,1882 mm,SUV,5.0,,,16.25 km/litre,,1799 kg,7,188 mm,Ventilated Disc,Ventilated Disc,McPherson suspension with lower triangular links and torsion stabiliser,"Multi-element axle, with one longitudinal and three transverse links, with torsion stabiliser",Electric Power,All Windows,,Remote,148 bhp @ 3500 rpm,340 Nm @ 1750 rpm,Analog,Digital,Yes,7.0,Automatic,2791 mm,,Yes,3,USB & Aux-in,Yes,Yes,,Yes,"Manual, With Remote",270 litres,,Yes,Yes,Digital,Yes,Yes,Yes,,,Yes,"Internal, With Remote",Digital,Automatic,Analog + Digital,Yes,6.1 meter,Yes,Driver & Front Passenger,Yes,"Fully automatic climate control, 3 Zone climate control",Yes,Yes,Yes,,,,Sport,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,All Rows,,"Drive side airbag, Front passenger knee airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Driver knee airbag, Driver head airbag, Front passenger head airbag",Yes,Yes,,Yes,9.0,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment,Yes
118,774,Bmw,X1,Sdrive20D Expedition,3520000,1995 cc,4.0,4.0,AWD (All Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,51 litres,Diesel,1612 mm,4439 mm,2060 mm,"Crossover, SUV",5.0,18 km/litre,20.68 km/litre,20.68 km/litre,,,8,165 mm,Ventilated Disc,Ventilated Disc,Double joint strut front axle,multi-arm rear axle,Electric Power,All Windows,,Smart Key,190hp@4000rpm,400Nm@1750-2500rpm,Digital,Analog,Yes,5.0,Automatic,2670 mm,225/55R17,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,"With Remote, Internal",420 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Digital,Automatic,Analog + Digital,Yes,5.8 meter,Yes,Driver & Front Passenger,Not Applicable,2 Zone Climate Control,,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,,"Front passenger head airbag, Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver head airbag",Yes,Yes,Yes,Yes,6.0,16.5,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,
119,779,Volvo,S60,Polestar,5602000,1969 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,67 litres,Petrol,1484 mm,4635 mm,2097 mm,Sedan,4.0,13.2 km/litre,18.5 km/litre,,,1661 kg,8,136 mm,Ventilated Disc,Drum,MacPherson Strut,Multi - link,Electric Power,All Windows,,Yes,372Ps@5700rpm,470Nm@2100-4800rpm,Digital,Analog,Yes,5.0,Automatic,2776 mm,R17,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,Internal,380 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.65 meter,Yes,Driver & Front Passenger,,Fully automatic climate control,,Yes,,,,,,Yes,,,,,,,Yes,Yes,All Rows,2110 kg,"Drive side airbag, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,,Yes,,6.0,,Rake,,,Front & rear sensors with 360 degree view,Yes,Yes,,,,Yes,Yes,Yes,Yes,Electric Adjustment,
120,781,Bmw,3-Series,320D Sport,4140000,1995 cc,4.0,4.0,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,40 litres,Diesel,1429 mm,4633 mm,1811 mm,Sedan,5.0,,,19.62 km/litre,,1590 kg,8,157 mm,Ventilated Disc,Ventilated Disc,,,Electric Power,All Windows,,Smart Key,190PS@400RPM,400NM@1750rpm,Digital,"Analog, Digital",2,5.0,Automatic,2810 mm,225/50 R17,Yes,2,CD Player with USB & Aux-in,Yes,Yes,,Yes,With Remote,480 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,With Remote,Digital,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,2 Zone Climate Control,Yes,Yes,Yes,,Yes,Yes,"Normal, Eco, Sport",Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Front passenger curtain airbag, Driver curtain airbag",Yes,Yes,Yes,Yes,6.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,Yes,Yes,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment,Yes
121,784,Volvo,S60 Cross Country,D4,4426500,2400 cc,5.0,4.0,AWD (All Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,67 litres,Diesel,1539 mm,4637 mm,2097 mm,"Sedan, Crossover",4.0,15.6 km/litre,19.6 km/litre,19.6 km/litre,,1776 kg,6,201 mm,Ventilated Disc,Ventilated Disc,"MacPherson Strut, Coil Spring",Independent suspension with McPherson Struts,Electro-Hydraulic,All Windows,"Yes, with memory",Smart Key,190PS@4000rpm,420Nm@1500-3000rpm,Digital,Digital,Yes,4.0,Automatic,2774 mm,215/50R17,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,"With Remote, Internal",380 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Analog,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,,"Drive side airbag, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Yes,Yes,Yes,6.0,,"Rake, Reach",,,Front & rear sensors with 360 degree view,Yes,Yes,,,,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes
122,785,Audi,Q5,35 Tdi Premium Plus,5021200,1968 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,64 litres,Diesel,1608 mm,4388 mm,1831 mm,SUV,5.0,12 km/litre,,16.9 km/litre,,1585 kg,7,170 mm,Ventilated Disc,Ventilated Disc,"Mac Pherson type with coil spring, stabiliser bar and double acting shock absorber","Double wishbones, two-way adjustable VPS gas-hydraulic shock absorbers, pushrod operated",Electric Power,All Windows,"Yes, with memory",Smart Key,190PS@3800-4000rpm,400Nm@1750-2500rpm,Digital,Analog,Yes,5.0,Automatic,2603 mm,235/60 R18,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,Internal,460 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,3rd/4th year( regardless of its mileage),Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.9 meter,Yes,Driver & Front Passenger,Not Applicable,3 Zone climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2185 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags, Drive side airbag",Yes,Yes,Yes,Yes,8.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes
123,789,Land Rover Rover,Range Evoque,S,5494000,1999 cc,4.0,4.0,AWD (All Wheel Drive),V,BS 6,"Front, Longitudinal",Injection,,Diesel,1649 mm,4371 mm,1996 mm,SUV,5.0,,,15.6 km/litre,,1915 kg,9,210 mm,Ventilated Disc,Ventilated Disc,MacPherson Strut,Multi - link,Electro-Hydraulic,All Windows,Yes,Smart Key,179PS@4000rpm,430NM@1750-2500rpm,Digital,Analog,Yes,5.0,Automatic,2681 mm,235/65R17,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,"3 Years/1,00,000 Kms (Whichever comes earlier)",Yes,"Internal, With Remote",,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"12/24 months /2,00,000 Kms (Whichever comes earlier)",Yes,Internal,Digital,Automatic,Analog + Digital,Yes,5.65 meter,Yes,Driver & Front Passenger,Not Applicable,2 Zone Climate Control,Yes,Yes,Yes,Yes,Yes,,"Normal, Comfort, Sport",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,2450 kg,"Drive side airbag, Front passenger curtain airbag, Driver curtain airbag, Rear passenger curtain airbags, Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,6.0,15.5,"Rake, Reach",,,Front & rear sensors with 360 degree view,Yes,Yes,Yes,Yes,,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes
124,793,Mercedes-Benz E-Class,Mercedes-Benz E-Class,E200,5861062,1991 cc,4.0,4.0,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,80 litres,Petrol,1494 mm,5063 mm,1860 mm,Sedan,4.0,8.5 km/litre,12 km/litre,12 km/litre,,,,,Ventilated Disc,Ventilated Disc,"4-link air suspension, anti-dive, automatic level control & stabilizer","Multi-link, anti-dive, anti-lift, automatic level control & stabilizer",Electro-Hydraulic,All Windows,"Yes, with memory",Smart Key,184PS@5500rpm,300Nm@1200-4000rpm,Digital,Analog,Yes,5.0,Automatic,3079 mm,245/45 R17,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,"Internal, With Remote",540 litres,Yes,Yes,Yes,Analog,Front & Rear,Yes,Front & Rear,Yes,4th year /with (absolutely no mileage restriction),Yes,"Internal, With Remote",Analog,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,3 Zone climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag, Curtain airbags",Yes,Yes,Yes,Yes,7.0,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes
125,801,Volvo,Xc60,Inscription D5,5990000,1969 cc,5.0,4.0,AWD (All Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,70 litres,Diesel,1658 mm,4688 mm,1902 mm,SUV,5.0,11.7 km/litre,18.8 km/litre,18.8 km/litre,,1879 kg,6,209 mm,Ventilated Disc,Ventilated Disc,Independent suspension with gash shox,Torsion Beam gas shox,Electric Power,All Windows,Yes,Smart Key,233PS@4250rpm,480Nm@1750rpm,Digital,Digital,,5.0,Automatic,2865 mm,235/55 R19,Yes,Yes,DVD Player with USB & Aux-in,Yes,,,Yes,Internal,495 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Yes,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,,All Rows,,"Rear passenger side airbags, Drive side airbag, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Yes,Yes,,8.0,,"Rake, Reach",,,Front & rear sensors with 360 degree view,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes
126,802,Bmw,X4,Xdrive20D M Sport X,6060000,1995 cc,4.0,4.0,AWD (All Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,60 litres,Diesel,1621 mm,4752 mm,1918 mm,SUV,5.0,,,16.4 km/litre,,1740 kg,8,498 mm,Ventilated Disc,Ventilated Disc,Independent Strut with stabiliser bar and coil spring,Independent multi-link Suspension with stabiliser bar and coil spring,Electric Power,All Windows,Yes,Smart Key,188bhp@4000RPM,400NM@1750rpm,Yes,Yes,Yes,5.0,Automatic,2864 mm,245/50 R19,Yes,Yes,CD/MP3 Player,Yes,Yes,,Yes,Internal,1400 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Yes,Manual,Analog,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Yes,Yes,,6.0,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment,Yes
127,805,Jeep,Wrangler,Unlimited,6394000,1999 cc,4.0,4.0,AWD (All Wheel Drive),V,BS 6,"Front, Longitudinal",Injection,85 litres,Petrol,1838 mm,4882 mm,1877 mm,SUV,5.0,17.5 km/litre,8.4 km/litre,8.4 km/litre,,,8,215 mm,Ventilated Disc,Ventilated Disc,Independent Suspension with Torsion Bar And Stabilizer Bar,Independent suspension with McPherson Struts,Electric Power,All Windows,Power seats,Remote,268PS@6350rpm,400Nm@4300rpm,Digital,Analog,Yes,5.0,Automatic,3008 mm,245/75R15,,Yes,CD Player with USB & Aux-in,Yes,Yes,2 Years Unlimited Kilometres,Yes,Internal,,Yes,Yes,,Digital,Front & Rear,Yes,Front & Rear,Yes,2 Years Unlimited Kilometres,Yes,Internal,Analog,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,Yes,Yes,Yes,,,,"Normal, Comfort, Eco, Sport",,Yes,,,,Yes,,Yes,Yes,,,"Driver frontal airbag, Front passenger frontal airbag, Drive side airbag, Front passenger side airbag, Front passenger curtain airbag, Driver curtain airbag",Yes,Yes,Yes,Yes,6.0,,Rake,,,Rear sensors with camera,Yes,Yes,Yes,Yes,,Touch Sensitive,Multifunction Steering Wheel,,Yes,Manual Adjustment,Yes
128,806,Mercedes-Benz C-Class Cabriolet,Mercedes-Benz C-Class Cabriolet,C300,6426497,1991 cc,4.0,4.0,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,60 litres,Petrol,1409 mm,4686 mm,1810 mm,Convertible,2.0,,,,,,9,,Ventilated Disc,Ventilated Disc,AGILITY CONTROL suspension with selective damping system,AGILITY CONTROL suspension with selective damping system,Electric Power,Only Front Windows,"Yes, with memory",Smart Key,258bhp@5800-6100rpm,370Nm@1800-4000rpm,Analog,Analog,Yes,4.0,Automatic,2840 mm,225/50 R17,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,With Remote,,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,With Remote,Yes,Automatic,Analog,Yes,5.8 meter,Yes,,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2200 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Front passenger pelvic airbag, Driver pelvic airbag, Rear passenger pelvic airbags",Yes,Yes,Yes,Yes,8.0,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes
